"Label (Grouping)","Total:","Total:!!White alone","Total:!!Black or African American alone","Total:!!American Indian and Alaska Native alone","Total:!!Asian alone","Total:!!Native Hawaiian and Other Pacific Islander alone","Total:!!Some other race alone","Total:!!Two or more races:","Total:!!Two or more races:!!Two races including Some other race","Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"    Estimate","13,032","8,522","3,430","162","142","13","241","522","73","449"
"Chatham County, Georgia","","","","","","","","","",""
"    Estimate","289,649","148,803","116,658","727","7,973","444","5,558","9,486","2,437","7,049"
"Chattahoochee County, Georgia","","","","","","","","","",""
"    Estimate","10,470","6,887","2,213","15","257","42","382","674","180","494"
"Chattooga County, Georgia","","","","","","","","","",""
"    Estimate","24,826","21,037","2,421","15","98","0","538","717","154","563"
"Cherokee County, Georgia","","","","","","","","","",""
"    Estimate","253,780","216,093","17,665","724","4,731","236","4,581","9,750","3,880","5,870"
"Clarke County, Georgia","","","","","","","","","",""
"    Estimate","126,952","78,708","35,829","225","4,934","53","3,000","4,203","1,484","2,719"
"Clay County, Georgia","","","","","","","","","",""
"    Estimate","2,931","1,251","1,632","0","31","0","11","6","0","6"
"Clayton County, Georgia","","","","","","","","","",""
"    Estimate","287,560","43,404","200,776","403","14,758","201","17,312","10,706","3,067","7,639"
"Clinch County, Georgia","","","","","","","","","",""
"    Estimate","6,648","4,485","1,672","156","2","0","238","95","0","95"
"Cobb County, Georgia","","","","","","","","","",""
"    Estimate","756,653","432,175","208,593","1,699","41,663","478","36,815","35,230","13,517","21,713"
"Coffee County, Georgia","","","","","","","","","",""
"    Estimate","43,070","28,232","12,335","34","300","0","667","1,502","467","1,035"
"Colquitt County, Georgia","","","","","","","","","",""
"    Estimate","45,510","28,489","10,681","504","346","9","4,399","1,082","675","407"
"Columbia County, Georgia","","","","","","","","","",""
"    Estimate","154,257","111,740","25,908","387","6,376","0","1,866","7,980","1,564","6,416"
"Cook County, Georgia","","","","","","","","","",""
"    Estimate","17,217","11,818","4,709","0","151","0","133","406","77","329"
"Coweta County, Georgia","","","","","","","","","",""
"    Estimate","145,839","109,633","25,557","360","2,918","24","2,437","4,910","810","4,100"
"Crawford County, Georgia","","","","","","","","","",""
"    Estimate","12,267","9,146","2,709","16","15","0","209","172","55","117"
"Crisp County, Georgia","","","","","","","","","",""
"    Estimate","22,509","11,813","10,303","0","26","23","42","302","130","172"
"Dade County, Georgia","","","","","","","","","",""
"    Estimate","16,183","15,188","182","0","206","21","66","520","128","392"
"Dawson County, Georgia","","","","","","","","","",""
"    Estimate","25,277","23,937","187","26","179","0","98","850","392","458"
"Decatur County, Georgia","","","","","","","","","",""
"    Estimate","26,595","13,871","11,094","38","179","0","1,082","331","58","273"
"DeKalb County, Georgia","","","","","","","","","",""
"    Estimate","755,287","252,673","402,410","6,594","46,505","503","13,527","33,075","11,917","21,158"
"Dodge County, Georgia","","","","","","","","","",""
"    Estimate","20,725","13,986","6,172","17","66","0","195","289","30","259"
"Dooly County, Georgia","","","","","","","","","",""
"    Estimate","13,571","6,160","6,711","6","0","0","251","443","331","112"
"Dougherty County, Georgia","","","","","","","","","",""
"    Estimate","88,696","22,825","61,851","162","862","40","1,156","1,800","127","1,673"
"Douglas County, Georgia","","","","","","","","","",""
"    Estimate","145,063","64,710","69,022","124","2,490","13","3,887","4,817","1,085","3,732"
"Early County, Georgia","","","","","","","","","",""
"    Estimate","10,218","4,578","5,201","50","52","0","54","283","0","283"
"Echols County, Georgia","","","","","","","","","",""
"    Estimate","3,944","2,637","140","64","0","0","672","431","367","64"
"Effingham County, Georgia","","","","","","","","","",""
"    Estimate","62,241","49,910","8,460","110","415","52","873","2,421","540","1,881"
"Elbert County, Georgia","","","","","","","","","",""
"    Estimate","19,164","12,713","5,683","27","123","0","228","390","232","158"
"Emanuel County, Georgia","","","","","","","","","",""
"    Estimate","22,525","13,956","7,532","48","38","0","240","711","142","569"
"Evans County, Georgia","","","","","","","","","",""
"    Estimate","10,671","6,186","3,048","32","101","0","1,042","262","24","238"
"Fannin County, Georgia","","","","","","","","","",""
"    Estimate","25,797","24,708","45","26","79","35","295","609","184","425"
"Fayette County, Georgia","","","","","","","","","",""
"    Estimate","113,544","73,208","26,715","166","4,988","196","3,578","4,693","1,403","3,290"
"Floyd County, Georgia","","","","","","","","","",""
"    Estimate","97,805","76,407","13,548","154","1,167","19","2,935","3,575","892","2,683"
"Forsyth County, Georgia","","","","","","","","","",""
"    Estimate","236,605","178,832","8,574","691","33,873","49","4,792","9,794","4,185","5,609"
"Franklin County, Georgia","","","","","","","","","",""
"    Estimate","23,015","19,641","2,045","74","273","0","502","480","46","434"
"Fulton County, Georgia","","","","","","","","","",""
"    Estimate","1,051,550","456,397","458,669","4,084","76,832","407","18,208","36,953","10,896","26,057"
"Gilmer County, Georgia","","","","","","","","","",""
"    Estimate","30,986","28,542","131","343","98","3","1,098","771","123","648"
"Glascock County, Georgia","","","","","","","","","",""
"    Estimate","2,984","2,652","290","14","0","1","0","27","0","27"
"Glynn County, Georgia","","","","","","","","","",""
"    Estimate","85,008","57,618","21,640","203","1,283","94","1,151","3,019","480","2,539"
"Gordon County, Georgia","","","","","","","","","",""
"    Estimate","57,756","48,960","2,348","715","694","77","2,912","2,050","957","1,093"
"Grady County, Georgia","","","","","","","","","",""
"    Estimate","24,693","15,910","7,203","116","152","11","76","1,225","3","1,222"
"Greene County, Georgia","","","","","","","","","",""
"    Estimate","17,808","10,486","6,146","0","202","4","697","273","258","15"
"Gwinnett County, Georgia","","","","","","","","","",""
"    Estimate","926,414","420,220","260,366","3,619","112,541","412","79,446","49,810","23,380","26,430"
"Habersham County, Georgia","","","","","","","","","",""
"    Estimate","45,204","38,422","1,196","73","977","321","2,276","1,939","780","1,159"
"Hall County, Georgia","","","","","","","","","",""
"    Estimate","201,434","162,231","14,476","518","3,836","21","8,179","12,173","8,086","4,087"
"Hancock County, Georgia","","","","","","","","","",""
"    Estimate","8,500","2,088","6,140","0","121","12","101","38","0","38"
"Haralson County, Georgia","","","","","","","","","",""
"    Estimate","29,608","27,222","1,287","40","248","0","171","640","43","597"
"Harris County, Georgia","","","","","","","","","",""
"    Estimate","34,676","27,450","5,545","40","228","2","346","1,065","71","994"
"Hart County, Georgia","","","","","","","","","",""
"    Estimate","25,981","19,952","5,093","147","251","0","124","414","70","344"
"Heard County, Georgia","","","","","","","","","",""
"    Estimate","11,785","10,222","998","0","97","16","37","415","66","349"
"Henry County, Georgia","","","","","","","","","",""
"    Estimate","229,994","104,473","104,872","226","7,829","0","3,670","8,924","1,584","7,340"
"Houston County, Georgia","","","","","","","","","",""
"    Estimate","155,317","92,182","48,639","935","5,211","276","1,541","6,533","1,493","5,040"
"Irwin County, Georgia","","","","","","","","","",""
"    Estimate","9,379","6,564","2,707","34","39","0","18","17","17","0"
"Jackson County, Georgia","","","","","","","","","",""
"    Estimate","70,467","60,046","4,912","11","1,255","24","1,797","2,422","699","1,723"
"Jasper County, Georgia","","","","","","","","","",""
"    Estimate","14,074","10,593","2,772","15","23","0","409","262","45","217"
"Jeff Davis County, Georgia","","","","","","","","","",""
"    Estimate","15,063","11,435","2,463","0","38","0","551","576","521","55"
"Jefferson County, Georgia","","","","","","","","","",""
"    Estimate","15,489","6,770","8,210","21","58","0","257","173","75","98"
"Jenkins County, Georgia","","","","","","","","","",""
"    Estimate","8,787","5,101","3,127","183","63","0","186","127","27","100"
"Johnson County, Georgia","","","","","","","","","",""
"    Estimate","9,717","6,204","3,291","0","19","0","36","167","32","135"
"Jones County, Georgia","","","","","","","","","",""
"    Estimate","28,622","20,684","7,011","46","175","0","92","614","65","549"
"Lamar County, Georgia","","","","","","","","","",""
"    Estimate","18,834","12,574","5,348","6","103","0","118","685","11","674"
"Lanier County, Georgia","","","","","","","","","",""
"    Estimate","10,534","7,642","2,426","15","50","0","57","344","173","171"
"Laurens County, Georgia","","","","","","","","","",""
"    Estimate","47,404","27,385","17,834","108","520","9","1,140","408","78","330"
"Lee County, Georgia","","","","","","","","","",""
"    Estimate","29,735","21,401","6,451","35","676","41","180","951","403","548"
"Liberty County, Georgia","","","","","","","","","",""
"    Estimate","62,039","27,121","25,241","313","1,179","324","2,482","5,379","1,379","4,000"
"Lincoln County, Georgia","","","","","","","","","",""
"    Estimate","7,929","5,357","2,382","4","8","3","73","102","22","80"
"Long County, Georgia","","","","","","","","","",""
"    Estimate","19,236","11,747","4,832","45","129","67","1,194","1,222","225","997"
"Lowndes County, Georgia","","","","","","","","","",""
"    Estimate","116,436","64,981","42,998","623","1,711","138","2,493","3,492","397","3,095"
"Lumpkin County, Georgia","","","","","","","","","",""
"    Estimate","33,009","31,109","694","127","270","25","347","437","17","420"
"McDuffie County, Georgia","","","","","","","","","",""
"    Estimate","21,404","11,470","8,547","0","91","244","569","483","24","459"
"McIntosh County, Georgia","","","","","","","","","",""
"    Estimate","14,217","8,863","4,920","13","240","0","0","181","11","170"
"Macon County, Georgia","","","","","","","","","",""
"    Estimate","13,107","4,400","8,111","0","11","0","458","127","0","127"
"Madison County, Georgia","","","","","","","","","",""
"    Estimate","29,624","24,771","2,614","62","377","0","1,105","695","37","658"
"Marion County, Georgia","","","","","","","","","",""
"    Estimate","8,450","5,090","2,578","11","101","35","395","240","117","123"
"Meriwether County, Georgia","","","","","","","","","",""
"    Estimate","21,080","12,213","8,501","13","52","0","150","151","11","140"
"Miller County, Georgia","","","","","","","","","",""
"    Estimate","5,725","3,878","1,777","12","6","28","0","24","0","24"
"Mitchell County, Georgia","","","","","","","","","",""
"    Estimate","22,072","10,619","10,159","76","100","55","296","767","59","708"
"Monroe County, Georgia","","","","","","","","","",""
"    Estimate","27,455","20,224","6,254","49","172","0","210","546","131","415"
"Montgomery County, Georgia","","","","","","","","","",""
"    Estimate","9,069","6,099","2,379","0","35","0","453","103","11","92"
"Morgan County, Georgia","","","","","","","","","",""
"    Estimate","18,832","13,751","4,562","11","13","0","262","233","1","232"
"Murray County, Georgia","","","","","","","","","",""
"    Estimate","39,789","38,188","341","68","153","0","184","855","379","476"
"Muscogee County, Georgia","","","","","","","","","",""
"    Estimate","195,418","82,986","90,798","608","4,842","292","5,570","10,322","3,132","7,190"
"Newton County, Georgia","","","","","","","","","",""
"    Estimate","109,835","52,841","50,373","307","1,320","78","1,904","3,012","597","2,415"
"Oconee County, Georgia","","","","","","","","","",""
"    Estimate","39,194","34,380","1,927","40","1,594","34","141","1,078","287","791"
"Oglethorpe County, Georgia","","","","","","","","","",""
"    Estimate","15,040","11,948","2,578","3","49","0","115","347","8","339"
"Paulding County, Georgia","","","","","","","","","",""
"    Estimate","164,440","120,380","33,067","362","1,768","35","2,019","6,809","1,582","5,227"
"Peach County, Georgia","","","","","","","","","",""
"    Estimate","27,502","13,469","12,231","122","236","49","950","445","100","345"
"Pickens County, Georgia","","","","","","","","","",""
"    Estimate","32,002","27,983","525","265","92","0","7","3,130","337","2,793"
"Pierce County, Georgia","","","","","","","","","",""
"    Estimate","19,336","16,569","1,953","63","0","0","556","195","91","104"
"Pike County, Georgia","","","","","","","","","",""
"    Estimate","18,565","16,349","1,644","0","71","0","181","320","17","303"
"Polk County, Georgia","","","","","","","","","",""
"    Estimate","42,251","33,589","4,794","144","241","16","1,609","1,858","548","1,310"
"Pulaski County, Georgia","","","","","","","","","",""
"    Estimate","11,185","6,697","4,327","45","77","0","19","20","5","15"
"Putnam County, Georgia","","","","","","","","","",""
"    Estimate","21,906","15,101","5,714","6","41","0","611","433","37","396"
"Quitman County, Georgia","","","","","","","","","",""
"    Estimate","2,290","992","1,076","0","145","12","0","65","0","65"
"Rabun County, Georgia","","","","","","","","","",""
"    Estimate","16,859","15,474","340","0","286","2","553","204","32","172"
"Randolph County, Georgia","","","","","","","","","",""
"    Estimate","6,888","2,213","4,358","0","3","0","189","125","38","87"
"Richmond County, Georgia","","","","","","","","","",""
"    Estimate","202,178","72,958","114,637","368","3,945","384","3,214","6,672","1,191","5,481"
"Rockdale County, Georgia","","","","","","","","","",""
"    Estimate","90,155","32,292","50,392","84","1,744","162","1,690","3,791","1,792","1,999"
"Schley County, Georgia","","","","","","","","","",""
"    Estimate","5,215","3,505","1,427","0","0","0","137","146","18","128"
"Screven County, Georgia","","","","","","","","","",""
"    Estimate","13,977","7,796","5,702","47","109","0","93","230","10","220"
"Seminole County, Georgia","","","","","","","","","",""
"    Estimate","8,218","5,066","2,903","0","94","0","14","141","8","133"
"Spalding County, Georgia","","","","","","","","","",""
"    Estimate","66,043","40,710","22,567","256","694","0","309","1,507","287","1,220"
"Stephens County, Georgia","","","","","","","","","",""
"    Estimate","25,934","21,511","2,920","29","156","2","609","707","58","649"
"Stewart County, Georgia","","","","","","","","","",""
"    Estimate","6,446","1,514","3,699","17","198","0","945","73","39","34"
"Sumter County, Georgia","","","","","","","","","",""
"    Estimate","29,714","12,849","15,752","6","397","0","327","383","69","314"
"Talbot County, Georgia","","","","","","","","","",""
"    Estimate","6,245","2,547","3,538","4","36","0","48","72","0","72"
"Taliaferro County, Georgia","","","","","","","","","",""
"    Estimate","1,596","601","934","0","0","8","53","0","0","0"
"Tattnall County, Georgia","","","","","","","","","",""
"    Estimate","25,392","14,722","7,382","112","35","5","2,623","513","269","244"
"Taylor County, Georgia","","","","","","","","","",""
"    Estimate","8,126","4,704","3,090","0","275","0","4","53","0","53"
"Telfair County, Georgia","","","","","","","","","",""
"    Estimate","15,871","8,331","6,236","13","30","0","895","366","317","49"
"Terrell County, Georgia","","","","","","","","","",""
"    Estimate","8,654","3,140","5,002","16","267","0","184","45","0","45"
"Thomas County, Georgia","","","","","","","","","",""
"    Estimate","44,545","26,658","16,419","67","120","25","455","801","73","728"
"Tift County, Georgia","","","","","","","","","",""
"    Estimate","40,590","25,281","11,914","92","511","1","1,244","1,547","772","775"
"Toombs County, Georgia","","","","","","","","","",""
"    Estimate","26,947","17,717","6,972","7","198","0","1,297","756","311","445"
"Towns County, Georgia","","","","","","","","","",""
"    Estimate","11,815","11,202","203","41","61","0","73","235","104","131"
"Treutlen County, Georgia","","","","","","","","","",""
"    Estimate","6,787","4,791","1,967","0","0","0","0","29","12","17"
"Troup County, Georgia","","","","","","","","","",""
"    Estimate","70,095","40,665","25,631","150","1,530","0","787","1,332","282","1,050"
"Turner County, Georgia","","","","","","","","","",""
"    Estimate","7,920","4,517","3,146","0","58","0","50","149","21","128"
"Twiggs County, Georgia","","","","","","","","","",""
"    Estimate","8,195","4,627","3,439","28","13","0","0","88","0","88"
"Union County, Georgia","","","","","","","","","",""
"    Estimate","23,999","23,034","181","83","82","0","40","579","195","384"
"Upson County, Georgia","","","","","","","","","",""
"    Estimate","26,329","17,905","7,285","164","105","201","275","394","120","274"
"Walker County, Georgia","","","","","","","","","",""
"    Estimate","69,398","63,782","2,669","100","560","9","244","2,034","553","1,481"
"Walton County, Georgia","","","","","","","","","",""
"    Estimate","93,284","71,689","16,920","68","1,527","16","1,454","1,610","339","1,271"
"Ware County, Georgia","","","","","","","","","",""
"    Estimate","35,745","22,921","11,038","90","442","43","468","743","206","537"
"Warren County, Georgia","","","","","","","","","",""
"    Estimate","5,259","1,985","3,202","0","51","0","0","21","7","14"
"Washington County, Georgia","","","","","","","","","",""
"    Estimate","20,316","8,827","10,782","51","142","0","200","314","20","294"
"Wayne County, Georgia","","","","","","","","","",""
"    Estimate","29,959","22,306","6,173","34","146","0","416","884","116","768"
"Webster County, Georgia","","","","","","","","","",""
"    Estimate","2,587","1,413","850","8","0","0","281","35","0","35"
"Wheeler County, Georgia","","","","","","","","","",""
"    Estimate","7,897","4,800","3,073","0","0","0","5","19","5","14"
"White County, Georgia","","","","","","","","","",""
"    Estimate","29,962","28,211","735","184","181","1","191","459","195","264"
"Whitfield County, Georgia","","","","","","","","","",""
"    Estimate","104,122","89,571","3,605","1,022","1,468","18","4,353","4,085","2,312","1,773"
"Wilcox County, Georgia","","","","","","","","","",""
"    Estimate","8,701","5,509","3,095","9","0","1","26","61","14","47"
"Wilkes County, Georgia","","","","","","","","","",""
"    Estimate","9,797","5,227","4,104","8","0","0","298","160","3","157"
"Wilkinson County, Georgia","","","","","","","","","",""
"    Estimate","8,945","5,290","3,492","8","0","3","39","113","2","111"
"Worth County, Georgia","","","","","","","","","",""
"    Estimate","20,346","13,916","5,724","65","178","7","97","359","166","193"
"Hawaii County, Hawaii","","","","","","","","","",""
"    Estimate","201,350","65,831","1,301","809","45,650","24,173","4,152","59,434","1,130","58,304"
"Honolulu County, Hawaii","","","","","","","","","",""
"    Estimate","979,682","197,903","24,048","1,908","417,316","97,942","12,075","228,490","8,751","219,739"
"Kalawao County, Hawaii","","","","","","","","","",""
"    Estimate","436","58","3","77","15","271","0","12","0","12"
"Kauai County, Hawaii","","","","","","","","","",""
"    Estimate","71,949","22,849","349","334","23,301","6,566","636","17,914","753","17,161"
"Maui County, Hawaii","","","","","","","","","",""
"    Estimate","166,657","56,282","1,016","380","48,237","18,746","2,928","39,068","2,464","36,604"
"Ada County, Idaho","","","","","","","","","",""
"    Estimate","469,473","419,619","5,976","2,694","12,075","924","7,531","20,654","5,090","15,564"
"Adams County, Idaho","","","","","","","","","",""
"    Estimate","4,200","4,005","14","49","0","17","5","110","0","110"
"Bannock County, Idaho","","","","","","","","","",""
"    Estimate","86,742","76,349","575","2,254","1,738","116","2,004","3,706","922","2,784"
"Bear Lake County, Idaho","","","","","","","","","",""
"    Estimate","6,054","5,710","18","52","29","0","94","151","58","93"
"Benewah County, Idaho","","","","","","","","","",""
"    Estimate","9,231","7,963","36","823","21","65","16","307","39","268"
"Bingham County, Idaho","","","","","","","","","",""
"    Estimate","46,246","37,658","102","2,941","187","40","3,378","1,940","772","1,168"
"Blaine County, Idaho","","","","","","","","","",""
"    Estimate","22,729","20,518","141","212","117","52","665","1,024","808","216"
"Boise County, Idaho","","","","","","","","","",""
"    Estimate","7,625","7,148","24","40","91","9","48","265","67","198"
"Bonner County, Idaho","","","","","","","","","",""
"    Estimate","44,688","41,968","121","467","298","33","292","1,509","276","1,233"
"Bonneville County, Idaho","","","","","","","","","",""
"    Estimate","116,970","103,903","542","771","1,080","139","6,633","3,902","1,324","2,578"
"Boundary County, Idaho","","","","","","","","","",""
"    Estimate","12,156","11,369","36","155","157","81","98","260","28","232"
"Butte County, Idaho","","","","","","","","","",""
"    Estimate","2,603","2,590","3","0","0","0","0","10","10","0"
"Camas County, Idaho","","","","","","","","","",""
"    Estimate","1,069","1,039","0","0","0","0","0","30","27","3"
"Canyon County, Idaho","","","","","","","","","",""
"    Estimate","223,890","180,530","789","2,205","1,849","789","25,653","12,075","6,304","5,771"
"Caribou County, Idaho","","","","","","","","","",""
"    Estimate","7,028","6,592","0","18","4","0","258","156","2","154"
"Cassia County, Idaho","","","","","","","","","",""
"    Estimate","23,847","21,274","50","240","171","20","1,019","1,073","790","283"
"Clark County, Idaho","","","","","","","","","",""
"    Estimate","885","749","8","41","0","0","87","0","0","0"
"Clearwater County, Idaho","","","","","","","","","",""
"    Estimate","8,735","8,111","39","198","54","23","58","252","67","185"
"Custer County, Idaho","","","","","","","","","",""
"    Estimate","4,193","3,629","6","23","3","0","63","469","122","347"
"Elmore County, Idaho","","","","","","","","","",""
"    Estimate","27,043","22,458","735","595","772","184","704","1,595","603","992"
"Franklin County, Idaho","","","","","","","","","",""
"    Estimate","13,736","12,913","16","111","15","2","316","363","71","292"
"Fremont County, Idaho","","","","","","","","","",""
"    Estimate","13,111","12,340","31","27","21","73","230","389","156","233"
"Gem County, Idaho","","","","","","","","","",""
"    Estimate","17,771","15,705","15","161","99","0","977","814","159","655"
"Gooding County, Idaho","","","","","","","","","",""
"    Estimate","15,280","13,649","5","120","140","29","365","972","730","242"
"Idaho County, Idaho","","","","","","","","","",""
"    Estimate","16,511","15,377","34","605","88","4","99","304","69","235"
"Jefferson County, Idaho","","","","","","","","","",""
"    Estimate","29,238","26,351","4","352","144","5","1,543","839","526","313"
"Jerome County, Idaho","","","","","","","","","",""
"    Estimate","24,074","21,314","41","144","184","142","991","1,258","902","356"
"Kootenai County, Idaho","","","","","","","","","",""
"    Estimate","161,676","148,952","605","2,065","1,342","161","1,669","6,882","2,645","4,237"
"Latah County, Idaho","","","","","","","","","",""
"    Estimate","40,052","36,468","485","498","865","28","200","1,508","450","1,058"
"Lemhi County, Idaho","","","","","","","","","",""
"    Estimate","7,929","7,434","2","36","8","2","93","354","82","272"
"Lewis County, Idaho","","","","","","","","","",""
"    Estimate","3,850","3,217","21","278","49","1","112","172","78","94"
"Lincoln County, Idaho","","","","","","","","","",""
"    Estimate","5,342","4,731","0","33","30","0","156","392","272","120"
"Madison County, Idaho","","","","","","","","","",""
"    Estimate","39,725","36,497","100","67","579","101","998","1,383","379","1,004"
"Minidoka County, Idaho","","","","","","","","","",""
"    Estimate","20,817","18,546","29","175","79","35","812","1,141","881","260"
"Nez Perce County, Idaho","","","","","","","","","",""
"    Estimate","40,468","36,285","23","2,394","354","25","204","1,183","247","936"
"Oneida County, Idaho","","","","","","","","","",""
"    Estimate","4,429","4,299","4","17","0","0","33","76","0","76"
"Owyhee County, Idaho","","","","","","","","","",""
"    Estimate","11,724","9,098","63","321","16","0","1,557","669","388","281"
"Payette County, Idaho","","","","","","","","","",""
"    Estimate","23,705","20,144","14","143","214","10","1,722","1,458","662","796"
"Power County, Idaho","","","","","","","","","",""
"    Estimate","7,635","6,096","2","491","0","0","848","198","152","46"
"Shoshone County, Idaho","","","","","","","","","",""
"    Estimate","12,700","11,820","110","341","2","17","33","377","67","310"
"Teton County, Idaho","","","","","","","","","",""
"    Estimate","11,776","10,593","0","114","0","0","626","443","266","177"
"Twin Falls County, Idaho","","","","","","","","","",""
"    Estimate","86,198","76,357","703","658","1,586","21","2,937","3,936","2,356","1,580"
"Valley County, Idaho","","","","","","","","","",""
"    Estimate","11,085","10,874","9","44","11","0","47","100","1","99"
"Washington County, Idaho","","","","","","","","","",""
"    Estimate","10,128","8,737","5","56","29","26","878","397","111","286"
"Adams County, Illinois","","","","","","","","","",""
"    Estimate","65,670","60,722","2,698","120","483","9","213","1,425","255","1,170"
"Alexander County, Illinois","","","","","","","","","",""
"    Estimate","6,011","3,803","2,107","6","2","28","0","65","23","42"
"Bond County, Illinois","","","","","","","","","",""
"    Estimate","16,520","14,933","1,124","241","52","0","51","119","39","80"
"Boone County, Illinois","","","","","","","","","",""
"    Estimate","53,293","45,598","1,466","93","530","0","3,695","1,911","889","1,022"
"Brown County, Illinois","","","","","","","","","",""
"    Estimate","6,599","5,145","1,199","42","0","0","117","96","42","54"
"Bureau County, Illinois","","","","","","","","","",""
"    Estimate","32,878","30,544","262","79","259","3","930","801","345","456"
"Calhoun County, Illinois","","","","","","","","","",""
"    Estimate","4,782","4,634","29","15","52","0","2","50","23","27"
"Carroll County, Illinois","","","","","","","","","",""
"    Estimate","14,398","13,737","304","7","71","0","60","219","106","113"
"Cass County, Illinois","","","","","","","","","",""
"    Estimate","12,324","10,874","518","23","9","72","497","331","189","142"
"Champaign County, Illinois","","","","","","","","","",""
"    Estimate","210,006","148,603","28,236","273","22,869","90","1,886","8,049","2,048","6,001"
"Christian County, Illinois","","","","","","","","","",""
"    Estimate","32,705","31,533","504","70","228","96","2","272","15","257"
"Clark County, Illinois","","","","","","","","","",""
"    Estimate","15,602","15,133","83","14","51","0","62","259","72","187"
"Clay County, Illinois","","","","","","","","","",""
"    Estimate","13,217","12,717","58","33","72","0","3","334","0","334"
"Clinton County, Illinois","","","","","","","","","",""
"    Estimate","37,549","35,017","1,215","65","215","0","222","815","217","598"
"Coles County, Illinois","","","","","","","","","",""
"    Estimate","51,065","47,222","2,015","69","601","19","176","963","135","828"
"Cook County, Illinois","","","","","","","","","",""
"    Estimate","5,169,517","2,812,203","1,202,260","16,072","386,119","1,951","495,853","255,059","137,708","117,351"
"Crawford County, Illinois","","","","","","","","","",""
"    Estimate","18,833","17,469","1,095","8","21","0","41","199","19","180"
"Cumberland County, Illinois","","","","","","","","","",""
"    Estimate","10,787","10,439","11","6","19","0","80","232","1","231"
"DeKalb County, Illinois","","","","","","","","","",""
"    Estimate","104,588","86,562","7,843","137","2,242","34","3,572","4,198","702","3,496"
"De Witt County, Illinois","","","","","","","","","",""
"    Estimate","15,764","15,239","150","1","4","0","65","305","38","267"
"Douglas County, Illinois","","","","","","","","","",""
"    Estimate","19,551","18,523","181","102","121","17","105","502","250","252"
"DuPage County, Illinois","","","","","","","","","",""
"    Estimate","926,005","690,385","45,544","1,638","112,867","394","33,054","42,123","19,719","22,404"
"Edgar County, Illinois","","","","","","","","","",""
"    Estimate","17,272","16,767","158","25","95","3","89","135","22","113"
"Edwards County, Illinois","","","","","","","","","",""
"    Estimate","6,431","6,231","28","28","18","0","12","114","2","112"
"Effingham County, Illinois","","","","","","","","","",""
"    Estimate","34,151","33,014","236","47","125","0","279","450","52","398"
"Fayette County, Illinois","","","","","","","","","",""
"    Estimate","21,418","20,078","944","33","114","38","10","201","59","142"
"Ford County, Illinois","","","","","","","","","",""
"    Estimate","13,155","12,379","143","67","94","0","274","198","23","175"
"Franklin County, Illinois","","","","","","","","","",""
"    Estimate","38,688","37,375","263","67","201","17","154","611","102","509"
"Fulton County, Illinois","","","","","","","","","",""
"    Estimate","34,654","32,398","1,286","135","68","24","180","563","102","461"
"Gallatin County, Illinois","","","","","","","","","",""
"    Estimate","4,983","4,792","18","0","6","0","14","153","12","141"
"Greene County, Illinois","","","","","","","","","",""
"    Estimate","12,988","12,571","195","1","14","4","65","138","26","112"
"Grundy County, Illinois","","","","","","","","","",""
"    Estimate","50,798","47,190","632","21","428","19","1,129","1,379","434","945"
"Hamilton County, Illinois","","","","","","","","","",""
"    Estimate","8,151","7,883","26","0","55","30","51","106","0","106"
"Hancock County, Illinois","","","","","","","","","",""
"    Estimate","17,820","17,215","86","1","59","0","17","442","228","214"
"Hardin County, Illinois","","","","","","","","","",""
"    Estimate","3,890","3,767","97","10","0","0","0","16","0","16"
"Henderson County, Illinois","","","","","","","","","",""
"    Estimate","6,737","6,546","11","0","45","0","0","135","31","104"
"Henry County, Illinois","","","","","","","","","",""
"    Estimate","49,032","45,577","897","52","233","0","1,131","1,142","496","646"
"Iroquois County, Illinois","","","","","","","","","",""
"    Estimate","27,437","25,309","232","22","100","0","1,144","630","156","474"
"Jackson County, Illinois","","","","","","","","","",""
"    Estimate","57,517","43,737","8,615","164","1,972","116","1,007","1,906","294","1,612"
"Jasper County, Illinois","","","","","","","","","",""
"    Estimate","9,547","9,288","34","3","10","0","17","195","49","146"
"Jefferson County, Illinois","","","","","","","","","",""
"    Estimate","37,774","32,594","2,972","74","453","7","121","1,553","414","1,139"
"Jersey County, Illinois","","","","","","","","","",""
"    Estimate","21,776","20,979","98","16","74","0","35","574","95","479"
"Jo Daviess County, Illinois","","","","","","","","","",""
"    Estimate","21,429","20,730","119","69","127","7","59","318","128","190"
"Johnson County, Illinois","","","","","","","","","",""
"    Estimate","12,391","10,905","1,304","16","44","0","57","65","3","62"
"Kane County, Illinois","","","","","","","","","",""
"    Estimate","531,756","377,629","28,706","2,727","21,223","271","70,866","30,334","18,054","12,280"
"Kankakee County, Illinois","","","","","","","","","",""
"    Estimate","109,924","85,811","16,405","217","915","3","2,917","3,656","1,557","2,099"
"Kendall County, Illinois","","","","","","","","","",""
"    Estimate","127,583","100,146","10,105","178","4,263","0","6,316","6,575","4,561","2,014"
"Knox County, Illinois","","","","","","","","","",""
"    Estimate","50,052","42,893","4,541","135","540","0","813","1,130","377","753"
"Lake County, Illinois","","","","","","","","","",""
"    Estimate","699,682","508,761","47,324","2,775","56,152","349","51,109","33,212","17,247","15,965"
"LaSalle County, Illinois","","","","","","","","","",""
